
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  6.10000000000E+07     ; 6.40000000000E+07   ; Hz                  ; 1601      ; S11           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reS11        ; imS11         
   6.18456250000E+07; -0.814371     ;-0.51358      
   6.18475000000E+07; -0.815099     ;-0.510828     
   6.18493750000E+07; -0.814855     ;-0.510278     
   6.18512500000E+07; -0.815037     ;-0.511175     
   6.18531250000E+07; -0.817139     ;-0.511805     
   6.18550000000E+07; -0.818916     ;-0.510448     
   6.18568750000E+07; -0.818436     ;-0.509189     
   6.18587500000E+07; -0.817987     ;-0.507101     
   6.18606250000E+07; -0.818664     ;-0.505535     
   6.18625000000E+07; -0.819779     ;-0.504062     
   6.18643750000E+07; -0.821285     ;-0.506106     
   6.18662500000E+07; -0.821753     ;-0.505265     
   6.18681250000E+07; -0.823661     ;-0.501588     
   6.18700000000E+07; -0.821837     ;-0.501925     
   6.18718750000E+07; -0.823429     ;-0.501707     
   6.18737500000E+07; -0.821623     ;-0.498812     
   6.18756250000E+07; -0.825164     ;-0.501711     
   6.18775000000E+07; -0.823551     ;-0.497785     
   6.18793750000E+07; -0.82728      ;-0.495193     
   6.18812500000E+07; -0.825433     ;-0.497495     
   6.18831250000E+07; -0.824515     ;-0.493862     
   6.18850000000E+07; -0.828878     ;-0.49493      
   6.18868750000E+07; -0.828086     ;-0.493905     
   6.18887500000E+07; -0.827469     ;-0.493156     
   6.18906250000E+07; -0.826756     ;-0.491329     
   6.18925000000E+07; -0.826441     ;-0.490067     
   6.18943750000E+07; -0.82919      ;-0.489474     
   6.18962500000E+07; -0.830101     ;-0.485903     
   6.18981250000E+07; -0.83113      ;-0.487118     
   6.19000000000E+07; -0.831477     ;-0.487971     
   6.19018750000E+07; -0.83544      ;-0.484508     
   6.19037500000E+07; -0.834939     ;-0.487447     
   6.19056250000E+07; -0.832962     ;-0.48334      
